;"""irritante_gamer_alt"
"""irritante_gamer_alt";1
"""Kerstversiering_van";0.647022174
Groep_2_gedichtje_Je;0.611265823
"""huiswerk_huiswerk_l";0.520915096
"""Had_ik_maar_een_vaa";0.501688333
clich__begin_2_dagen;0.492948563
"""Sinterklaasavond_is";0.48524948
"""Zie_ginds_komt_de_l";0.319684379
"""Nieuwe_golfclub_In_";0.314401311
Aftershave_Als_je_he;0.248607148
Ruilen_binnen_zeven_;0.243810175
Bijna_alles_al_Sommi;0.240479347
"""Nutteloos_Dit_is_ee";0.217273331
"""gemeen_Teletubbies_";0.207883356
"""gehandicapten_gehan";0.196929652
Wadlopen_Laatst_bij_;0.175526044
Rijk_huis_Als_ik_zo_;0.150122939
Hulp_voor_de_kerstma;0.14980192
Rijbewijs_naar_Frank;0.147447724
Amarilus_Als_deze_am;0.141978945
"""sportfiguur_Heel_ac";0.137365865
Drop_en_zweet_Drop_i;0.123722921
Stinkerd_Jij_ruikt_v;0.114366793
Surprise_voor_jou_Hi;0.112881178
Paul_de_Leeuw_fan_Al;0.110580767
"""Lieneke_,Kaarsen_he";0.109356707
Boerenlater_Waar_jij;0.108084469
De_grootste_schat:_g;0.10792775
"""Borrel_nodig!_Ik_he";0.106025806
"""Snoeperd_XXX_houdt_";0.103439111
Vogeltje_in_jouw_tui;0.101833144
"""Regenboog_De_kindje";0.099038375
Scherm-pauze_de_hele;0.097079941
"""lego_Geen_saai_spel";0.095327331
"""Opknapbeurt_Soms_ki";0.091816847
Glaasje_wijn_Net_als;0.087262219
"""Ajax_Fan_In_....._v";0.08425171
Schoen_zetten_De_kin;0.084232522
foute_vent_Wat_ben_j;0.082270087
"""Knutsel-gek_Als_hob";0.081918292
Rimpelcreme_In_de_sp;0.081165544
"""lelijk_als_de_nacht";0.0798809
"""cadeautjes_inslaan_";0.079420152
Ik_ik_ben_ik.__niema;0.079305511
"""chaotisch_Is_het_ni";0.0755093
buiten_roken_Een_caf;0.072353356
sloffen_Loop_jij_thu;0.072145349
"""geen_enkele_wens_Be";0.069483985
"""televisie_kijken_Al";0.068134835
"""Jongens_VS_Meiden_J";0.067780754
"""hockeystick_Sint_za";0.065926162
Fles_wijn_Dit_soort_;0.065363735
Nooit_eens_geluk_Wat;0.064536951
"""lelijk_je_bent_leli";0.061969482
reisboek_via_interne;0.060749769
stop_met_zappen!_Voo;0.059257654
Over_de_grens_De_tij;0.057468384
"""Ik_hou_van_je_en_ga";0.05527934
Ik_ben_ook_maar_gewo;0.054822206
Echte_kerstboo_De_ke;0.054441199
miljonair_o_had_ik_m;0.054283787
"""Roeispieren_De_Sint";0.053697586
muziekliefhebber_van;0.053532119
Sint_denk_\'asjemeno;0.050552243
wiet_ik_hou_het_niet;0.050498582
Natte_haren_Zwemmen_;0.050057242
VERSTROOID_Ookal_ben;0.048635651
Held_op_sokken_Als_c;0.048206698
"""Twitterende_Zitzak_";0.048105914
"""Mobieltje_stuk_De_S";0.047599964
"""Welke_kleur_Piet_Si";0.047546768
"""Mooie_kaarten_met_o";0.046674256
"""Klusser_Ten_gunste_";0.046275813
"""Gevallen_voor_haar_";0.043798733
Rondjes_schaatsen_Ji;0.043688114
"""Eenzaam_vroeger_was";0.041493348
Kriebels_Ik_ben_verl;0.040594163
"""De_pukkel_Soms_ga_j";0.040428171
zwanger_Sint_en_Piet;0.039858333
"""Cadeau_van_ver_Voor";0.039458116
"""Rugpijn_Altijd_maar";0.037486912
"""Overlevingsstrijd_N";0.037276485
"""Tennisballen_Ook_al";0.037190499
Liever_met_de_auto_r;0.035350552
"""Hockey(dames)_hocke";0.035306316
CD\'s_in_de_auto_Ga_;0.035298612
nieuwe_tv_Wat_had_ji;0.034488469
"""Flatulent_Soms_is_m";0.033823567
"""Muizenvanger_Je_heb";0.032623071
"""Losbladige_agenda_A";0.032395427
Ijdeltuit_Ik_grijp_i;0.032261124
"""Strijkende_moeder_A";0.031818968
"""bodylotion_Na_de_do";0.031760564
vroeg_naar_bed_Jij_m;0.03174305
"""lootjes_trekken_Als";0.031156081
Nespresso_Waarin_jij;0.030735319
"""Sint`s_Wondermiddel";0.030689398
"""Ouwe_meuk_Een_orgel";0.02969948
lekker_kontje_Je_ben;0.027795423
Huur_een_tuinman!_Aa;0.027227561
Gangster_ik_ben_een_;0.026966244
kerstversiering_Wat_;0.026911857
"""Miljoenendroom_Oh,_";0.025876855
Chocoladeletter_Van_;0.025698611
"""Gedicht_voor_een_ho";0.025363796
voetballer_Als_voetb;0.025175009
"""werkende_moeder_Als";0.02492175
Echte_bloemen_gaan_d;0.024846204
sinterklaas_original;0.024735692
"""Turnen_de_Sint_staa";0.024287561
"""wierook_of_parfum_B";0.024004495
"""Blendle.com_tegoed_";0.023744064
Ziektekostenpremie_J;0.023696984
Meisje_gevonden_In_j;0.022789212
Mezelf_zijn_by_jou_k;0.022636974
"""Cd_kopieren_Wat_Sin";0.022404354
"""te_dik_door_snacken";0.021955015
"""Toneel_Sinterklaas_";0.021944576
backpacken_Met_rugza;0.021822287
"""zo_blij_ik_ben_vand";0.021773838
"""Fietsbel_ongeluk_Ha";0.020852615
"""December_Het_is_wee";0.020592964
Einde_inspiratie_Vee;0.020131537
"""lege_schoen_Sint_ha";0.019918305
Bank_Medewerker_Door;0.019606823
Lang_gezocht_De_Sint;0.018906427
"""Geschenk_uit_India_";0.018734519
"""treinvertaging_o,_o";0.018486778
"""DVD_Speler_Xxx_maak";0.016460889
geluk_Heb_je_een_lev;0.016171427
"""Cadeau_voor_de_hond";0.01543464
"""Sterke_drank_Bier_e";0.015416086
"""Opa_/_Oma_Met_je_kl";0.015115875
Karige_Sint_Want_is_;0.014782119
Concours_hippique_Ji;0.014406392
Kroegtijger_Als_iede;0.013456367
(Spijker)broek_Jij_k;0.012982249
blij_met_wat_je_krij;0.012848047
Pluk_de_dag_Het_lief;0.012162752
Geen_files_op_het_da;0.012142095
"""Storm_Als_de_wind_w";0.011935557
"""Golfhandschoen_Op_d";0.011710815
"""Kim_moeder_verpleeg";0.011029531
Sinterklaas_relaas_L;0.010867367
"""Wat_brengt_de_Sint?";0.01045433
Plaid_Je_wilde_iets_;0.00918435
gouden_sieraad_Piet\;0.009117419
"""Iedereen_is_kind_Je";0.008941493
"""Turn_to_the_beat_Zi";0.008911416
"""Verliefd_op_dansler";0.008871703
lezen_in_de_trein_Vr;0.008615488
"""Sterke_bouwer_Bouwe";0.007609669
Kaasplankje_Sinterkl;0.007388599
"""wassen_en_strijken_";0.007146839
Zoekende_Sint_De_Sin;0.006986858
"""Fazant_Ojee_wat_is_";0.006275711
"""lang_wc_bezoek_waar";0.006057802
te_laat_komen_digita;0.005715942
"""Je_kan_nog_ruilen_I";0.005330089
"""horror_sinterklaas_";0.005294603
"""Stank_op_de_wc_Jaja";0.004578296
"""Samen_Samen_op_vaka";0.003341713
"""Bioscoopbon_Reserve";0.003160312
"""Celibaat...not!_Som";0.003146768
"""Proefwerk_Je_zou_we";0.002842739
KERST_Het_is_kerst._;0.002808845
Verliefd_Piet_Een_va;0.002782912
bloem_en_kus_in_de_r;0.002779043
"""Verhuizen_Je_woont_";0.002435913
"""vriend_ik_heb_een_v";0.002430226
Sleutelen_Je_bent_ee;0.002407317
Geen_zin_in_school_S;0.002157143
Ik_heb_het_gehad_ik_;0.002106738
"""Vriend_Ik_wil_graag";0.002069594
"""laat_verlanglijstje";0.001937995
Sinterklaas_in_Holla;0.001459335
Naar_school_Elke_dag;0.001275555
"""Sint_dacht_nu_weer_";0.001082218
Sint_vs_Santa_Zie_de;0.001036667
sexy_lingerie_Piet_v;0.001014918
hard_rijden_Jij_geef;0.000881227
"""Opgegeten_letter_Ee";0.000848634
"""sinterklaas_origina";0.000818572
"""Sint_is_er_weer_Zie";0.000781211
"""wees_gelukkig_Je_be";0.000762084
bloembol_Omdat_jij_z;0.000104653
Gemene_Sint_parodie_;-5.09E-06
Fortis_aandelen_Jamm;-8.26E-05
"""dansen_voor_publiek";-0.00014017
volle_boekenkast_jou;-0.000296122
"""Kapot_voorwerp_Soms";-0.000633
"""Lootje_zonder_lijst";-0.000757058
"""Weer_eens_een_ander";-0.000787685
Oma_is_jarig_Oma_is_;-0.001318535
boekenbon_Sint_heeft;-0.001562246
Ik_hou_van_jou_ik_ho;-0.001666232
"""Seksuele_geaardheid";-0.001704424
"""marsepein_liefhebbe";-0.001770601
"""Hiphop__preek_Hij_l";-0.001866562
boek_halen_bij_de_bi;-0.002085866
Geen_idee_wat_was_no;-0.002191029
sieraad_Zoals_Sint_e;-0.00247891
"""Ajax_Sinterklaas_is";-0.002707637
Kredietcrisis_Sinds_;-0.002797071
"""Plaid_De_hulp-piet_";-0.002993902
"""Krakende_hersens_Va";-0.003067865
Nintendo_WII_Niet_me;-0.00356029
"""Tweedehandsje_Dit_c";-0.003561516
"""Wegomleiding_Oh_oh_";-0.003789855
"""Turn-wijf_turnen_do";-0.004614173
Alternatief_begin_De;-0.004863885
"""sloffen_De_winter_k";-0.005039753
"""Internet-cadeau_te_";-0.005946824
"""CD_Crescendo,_Tempo";-0.006004149
"""geen_inspiratie_Dit";-0.006162613
alternatief_beginnet;-0.00635408
"""Begin_Sintgedicht_E";-0.007245522
Buiten_paffen_kleume;-0.007840516
paarse_accenten_een_;-0.008367356
boeken_lezen_lezen_d;-0.008624187
"""Geen_baby_voor_mij_";-0.008881019
samen_wij_twee_samen;-0.008899449
"""Surprise_mislukt?_W";-0.009064439
Schuifelende_piet_Pi;-0.009442411
"""Geurkaars_`Bah_wat_";-0.01385675
"""Nuttig_doch_saai_Di";-0.014608144
"""uitstellen_stel_nie";-0.018099264
Sint_heeft_geen_zin_;-0.029426976
Een_zielig_gedicht_o;-0.037553382
"""Mooi_Kado_oh_oh_oh_";-0.056074381
